Vocabulary diff: beta=0.3 vs beta=0.0 (BPE)
Shared: 695
Swapped IN  (gravity added):   70
Swapped OUT (gravity removed):  70

=== SWAPPED IN (sorted by leverage) ===
  + 'Sa'                  lev=1.0239  freq=     7,746  score=0.374082
  + 'Di'                  lev=0.9990  freq=     6,648  score=0.353936
  + 'every'               lev=0.9909  freq=     6,657  score=0.353992
  + 'under'               lev=0.9575  freq=     6,814  score=0.356515
  + 'first'               lev=0.8973  freq=     6,977  score=0.358589
  + 'rad'                 lev=0.8972  freq=     7,195  score=0.362555
  + 'Ne'                  lev=0.8951  freq=     7,525  score=0.368266
  + 'coun'                lev=0.8707  freq=     7,264  score=0.363314
  + 'produ'               lev=0.8423  freq=     6,852  score=0.355282
  + 'take'                lev=0.8212  freq=     7,743  score=0.370526
  + 'two'                 lev=0.8011  freq=     7,716  score=0.369686
  + 'chan'                lev=0.8011  freq=     7,219  score=0.361211
  + 'ek'                  lev=0.7884  freq=     7,391  score=0.363965
  + 'help'                lev=0.7844  freq=     7,316  score=0.362585
  + 'may'                 lev=0.7791  freq=     7,331  score=0.362738
  + 'rese'                lev=0.7665  freq=     7,663  score=0.368102
  + 'well'                lev=0.7581  freq=     6,931  score=0.355129
  + 'La'                  lev=0.7493  freq=     7,111  score=0.358232
  + 'look'                lev=0.7402  freq=     7,254  score=0.360580
  + 'too'                 lev=0.7353  freq=     7,369  score=0.362474
  + 'incl'                lev=0.7284  freq=     7,185  score=0.359107
  + 'fter'                lev=0.7255  freq=     7,802  score=0.369478
  + 'cause'               lev=0.7083  freq=     7,417  score=0.362700
  + 'Ha'                  lev=0.6971  freq=     7,558  score=0.364823
  + 'pat'                 lev=0.6946  freq=     6,985  score=0.354753
  + 'Me'                  lev=0.6793  freq=     7,421  score=0.362094
  + 'arg'                 lev=0.6639  freq=     7,494  score=0.362959
  + 'stat'                lev=0.6629  freq=     7,101  score=0.356113
  + 'iver'                lev=0.6627  freq=     7,817  score=0.368236
  + 'add'                 lev=0.6613  freq=     7,359  score=0.360599
  + 'long'                lev=0.6532  freq=     7,380  score=0.360760
  + 'hor'                 lev=0.6484  freq=     7,066  score=0.355133
  + 'iat'                 lev=0.6483  freq=     7,181  score=0.357179
  + 'eral'                lev=0.6366  freq=     7,056  score=0.354657
  + 'mal'                 lev=0.6312  freq=     7,886  score=0.368529
  + 'inst'                lev=0.6148  freq=     7,014  score=0.353343
  + 'said'                lev=0.6112  freq=     7,014  score=0.353249
  + 'ause'                lev=0.6082  freq=     7,819  score=0.366847
  + 'fore'                lev=0.5890  freq=     7,259  score=0.356995
  + 'cus'                 lev=0.5752  freq=     7,397  score=0.358978
  + 'ram'                 lev=0.5712  freq=     7,486  score=0.360363
  + 'vis'                 lev=0.5662  freq=     7,432  score=0.359311
  + 'only'                lev=0.5572  freq=     7,290  score=0.356627
  + 'round'               lev=0.5535  freq=     7,266  score=0.356103
  + 'cy'                  lev=0.5505  freq=     7,861  score=0.365845
  + 'ann'                 lev=0.5484  freq=     7,549  score=0.360737
  + 'arc'                 lev=0.5438  freq=     7,663  score=0.362466
  + 'real'                lev=0.5380  freq=     7,575  score=0.360849
  + 'amp'                 lev=0.5318  freq=     7,876  score=0.365500
  + 'row'                 lev=0.5254  freq=     7,313  score=0.356054
  + 'hed'                 lev=0.5220  freq=     7,188  score=0.353787
  + 'back'                lev=0.5184  freq=     7,692  score=0.362135
  + 'hol'                 lev=0.5168  freq=     7,675  score=0.361808
  + 'sure'                lev=0.5120  freq=     7,284  score=0.355131
  + 'rest'                lev=0.5106  freq=     7,337  score=0.355992
  + 'ool'                 lev=0.4982  freq=     7,498  score=0.358290
  + 'ced'                 lev=0.4854  freq=     7,472  score=0.357422
  + 'ract'                lev=0.4822  freq=     7,747  score=0.361793
  + 'lif'                 lev=0.4590  freq=     7,637  score=0.359188
